Number,Latency Arduino,Latency Serial and Leap,Latency Total
227,0.093,0.0,0.093
228,0.093,0.0,0.093
229,0.093,0.0,0.093
230,0.093,0.0,0.093
231,0.093,0.0,0.093
232,0.093,0.0,0.093
233,0.093,0.0,0.093
234,0.093,0.0,0.093
235,0.093,0.0,0.093
236,0.093,0.0,0.093
237,0.093,0.0,0.093
238,0.093,0.0,0.093
239,0.093,0.0,0.093
240,0.093,0.0,0.093
241,0.093,0.0,0.093
242,0.093,0.0,0.093
243,0.093,0.0,0.093
244,0.093,0.0,0.093
245,0.093,0.0,0.093
246,0.093,0.0,0.093
247,0.093,0.0,0.093
248,0.093,0.0,0.093
249,0.093,0.0,0.093
250,0.093,0.0,0.093
251,0.093,0.0,0.093
252,0.093,0.0,0.093
253,0.093,0.0,0.093
254,0.093,0.0,0.093
255,0.093,0.0,0.093
256,0.093,0.0,0.093
257,0.093,0.0,0.093
258,0.093,0.0,0.093
259,0.093,0.0,0.093
260,0.093,0.0,0.093
261,0.093,0.0,0.093
262,0.093,0.0,0.093
263,0.093,0.0,0.093
264,0.093,0.0,0.093
265,0.093,0.0,0.093
266,0.093,0.0,0.093
267,0.093,0.0,0.093
268,0.093,0.0,0.093
269,0.093,0.0,0.093
270,0.093,0.0,0.093
271,0.093,0.0,0.093
272,0.093,0.0,0.093
273,0.093,0.0,0.093
274,0.093,0.0,0.093
275,0.093,0.0,0.093
276,0.093,0.0,0.093
277,0.093,0.0,0.093
278,0.093,0.0,0.093
279,0.093,0.0,0.093
280,0.093,0.0,0.093
281,0.093,0.0,0.093
282,0.093,0.0,0.093
283,0.093,0.0,0.093
284,0.093,0.0,0.093
285,0.093,0.0,0.093
286,0.093,0.0,0.093
287,0.093,0.0,0.093
288,0.093,0.0,0.093
289,0.093,0.0,0.093
290,0.093,0.0,0.093
291,0.093,0.0,0.093
292,0.093,0.0,0.093
293,0.093,0.0,0.093
294,0.093,0.0,0.093
295,0.093,0.0,0.093
296,0.093,0.0,0.093
297,0.093,0.0,0.093
298,0.093,0.0,0.093
299,0.093,0.0,0.093
300,0.093,0.0,0.093
301,0.093,0.0,0.093
302,0.093,0.0,0.093
303,0.093,0.0,0.093
304,0.093,0.0,0.093
305,0.093,0.0,0.093
306,0.093,0.0,0.093
307,0.093,0.0,0.093
308,0.093,0.0,0.093
309,0.093,0.0,0.093
310,0.093,0.0,0.093
311,0.093,0.0,0.093
312,0.093,0.0,0.093
313,0.093,0.0,0.093
314,0.093,0.0,0.093
315,0.093,0.0,0.093
316,0.093,0.0,0.093
317,0.093,0.0,0.093
318,0.093,0.0,0.093
319,0.093,0.0,0.093
320,0.093,0.0,0.093
